tgin,hgin,tgout,hgout,ph,tliq,co2in,co2out,dp,vg,dustrak,cmd,nc,mass,ambpm,driftmgkg,loading,co2diff,fliq,packing,medium,disb,divice
23.3,64.9,24,91.5,12.15,24.8,398,285,0,4,0.0151375,62,1800,1.34,0.003,0.000413883,low,113,NA,na,taurate,spiral,rls
25.7,57.2,24.1,85.6,12.13,24.3,394,330,0,8.2,0.0151375,162,1150,2.69,0.003,0.000413883,low,64,NA,na,taurate,spiral,rls
26.5,53.6,24.2,87.6,12.11,24,394,288,0,4,0.0151375,132,578.9,0.765,0.003,0.000413883,low,106,NA,na,taurate,spiral,rls
28.6,46.7,24.6,78.3,12.09,23.9,390,353,0,15.2,0.0151375,102,305.9,0.192,0.003,0.000413883,low,37,NA,na,taurate,spiral,rls
28.9,33.7,25.1,80.6,11.07,24,390,295,0,3.8,0.022,75,244.6,0.458,0.003,0.0003135,low,95,NA,na,taurate,spiral,rls
29.9,31.7,24.9,75,11.08,23.9,388,331,0,8,0.015,53,430,0.602,0.003,0.00045,low,57,NA,na,taurate,spiral,rls
30.9,31.4,25.2,70.8,11.08,23.7,383,343,1,12,0.007,46,539.6,0.429,0.003,0.000315,low,40,NA,na,taurate,spiral,rls
31.4,32.8,25.3,63.5,11.12,23.4,392,359,1,15.4,0.005,27,2470,0.555,0.003,0.00028875,low,33,NA,na,taurate,spiral,rls
27.1,46.7,21.9,79.6,10.84,25.9,395,300,0,3.8,0.0151375,41.45,5911.557,3.63255,3.4703625,0,medium,95,NA,na,taurate,spiral,rls
27.7,44.5,22.2,74.2,10.8,27.6,392,342,1,7.5,0.0151375,41.45,5911.557,3.63255,3.4703625,0,medium,50,NA,na,taurate,spiral,rls
22.3,63.1,20.2,82.9,10.61,29.9,408,385,2,15.7,0.009,34,12400,7.91,7.5,0.000529875,medium,23,NA,na,taurate,spiral,rls
21.4,65.1,19.9,85.1,10.61,29.9,413,388,1,11.7,0.012,34,10600,9.61,7.5,0.0005265,medium,25,NA,na,taurate,spiral,rls
20.8,67,19.8,86.7,10.61,30,411,376,0,8,0.02,31,13900,8.88,7.5,0.0006,medium,35,NA,na,taurate,spiral,rls
20.4,68.6,20.1,88,10.6,30.3,424,338,0,3.8,0.026,32,12600,6.57,7.5,0.0003705,medium,86,NA,na,taurate,spiral,rls
17.8,63.1,NA,89.8,11.12,20.9,391,290,45,8.6,0.007,31.6,11500,2.98,0.004,0.00129,low,101,70,ss304,taurate,distbtr,pc
17.8,58.5,NA,91.7,11.08,24.5,387,279,47,8,0.007,30.1,12300,4.06,0.004,0.00105,low,108,80,ss305,taurate,distbtr,pc
17.8,57.4,NA,92.3,11.09,23.2,390,282,65,8.1,0.039,34.6,18000,14.3,0.004,0.0047385,low,108,100,ss306,taurate,distbtr,pc
17.6,57.3,NA,92.7,11.27,15.3,384,268,73,8,0.045,47,13000,18.4,0.004,0.0045,low,116,120,ss307,taurate,distbtr,pc
17.6,57.3,NA,92.7,11.27,15.3,384,384,73,8,0.002,29.19304,26980.6,8.462675,0.004,0.003443577,low,0,0,ss308,taurate,distbtr,pc
17.3,65.5,NA,88.4,11.2,15.5,382,229,25,5.3,0.009,24.7,21900,3.39,0.004,0.00059625,low,153,120,ss309,taurate,distbtr,pc
17.7,56.5,NA,91,11.18,15.6,251,379,45,6.5,0.013,24.9,12800,3.83,0.004,0.00105625,low,-128,120,ss310,taurate,distbtr,pc
18.2,53.9,NA,91.7,11.17,15.6,379,263,73,8,0.02,25.2,11600,5.57,0.004,0.002,low,116,120,ss311,taurate,distbtr,pc
19,51.4,NA,92.1,11.16,15.6,378,270,93,9.7,0.019,25.5,13500,5.42,0.004,0.00230375,low,108,120,ss312,taurate,distbtr,pc
19,51.4,NA,92.1,11.16,15.6,378,387,93,9.7,0.004,21.2,521.2,1.21,0.005770869,0.003456635,low,-9,0,ss313,taurate,distbtr,pc
15.7,59.1,NA,89.7,11.18,14.5,400,253,22,5.4,0.0103449,22.6,54400,3.09,0.004941514,0.001464479,low,147,80,ss314,taurate,distbtr,pc
