Time,Run#,Tgin,Hgin,Tgout,Hgout,PH,Tliq,Fliq,CO2in,Co2out,dp,vg,Tliqo,Dustrak,cmd,nc,vol,mass,ambpm,flowrate1,pmmghour,fliqkghour,driftmgkg,type,packing,disb,medium,loading,co2diff
11:49,PC33,20.4,49.6,17.1,90.8,10.81,16.8,80,398,274,24,5.6,16.1,,28.8,4.00e+04(#/cm³),5.43e+09(nm³/cm³),6.52(µg/m³),,0.168,0,5760,0,pc,ss,dst,taurate,18,124
11:54,PC34,20.9,48.3,17,90.9,10.81,16.7,80,385,285,36,6.9,16,,31.7,1.60e+04(#/cm³),3.11e+09(nm³/cm³),3.73(µg/m³),,0.207,0,5760,0,pc,ss,dst,taurate,18,100
12:02,PC35,21.3,47.5,17.2,91.1,10.81,16.6,80,390,302,55,9.7,15.9,0.006,30.4,3.70e+04(#/cm³),4.06e+09(nm³/cm³),4.88(µg/m³),0.008,0.291,6.2856,5760,0.00109125,pc,ss,dst,taurate,18,88
12:07,PC36,21.3,47.9,16.8,91.3,10.81,16.6,80,390,309,68,10.8,15.9,0.006,30.9,2.80e+04(#/cm³),4.55e+09(nm³/cm³),5.46(µg/m³),0.008,0.324,6.9984,5760,0.001215,pc,ss,dst,taurate,18,81
,amb,21.3,47.9,16.8,91.3,10.81,16.6,0,390,390,68,10.8,15.9,0.008,,,,,,0,0,0,#DIV/0!,pc,ss,dst,taurate,18,0
13:37,PC36p,18.5,48.6,16,89.1,14.42,14.6,100,392,227,3.4,3,14,0.065,18.2,1.87e+05(#/cm³),1.27e+10(nm³/cm³), 15.2(µg/m³),0.008,0.09,21.06,7200,0.002925,pc,pp,dst,caustic,1,165
13:46,PC37,20.7,44.4,15.2,93.1,14.43,14.6,100,387,300,18,8.5,13.8,0.037,27.1,3.73e+04(#/cm³),1.10e+10(nm³/cm³), 13.2(µg/m³),0.008,0.255,33.966,7200,0.0047175,pc,pp,dst,caustic,1,87
13:54,PC38,23.9,33.8,14.2,96.3,14.44,14.3,100,391,326,97,18.4,13.5,0.026,32.5,2.40e+04(#/cm³),1.08e+10(nm³/cm³), 13.0(µg/m³),0.008,0.552,51.6672,7200,0.007176,pc,pp,dst,caustic,1,65
14:03,PC39,20.8,37.6,14.7,96.5,14.44,14.3,100,390,295,21,8.5,13.6,0.042,20.5,1.18e+05(#/cm³),1.41e+10(nm³/cm³), 17.0(µg/m³),0.008,0.255,38.556,7200,0.005355,pc,pp,dst,caustic,1,95
14:10,PC40,21.1,36.8,14.7,96,14.45,14.4,80,386,300,21,8.5,13.5,0.029,26.7,2.55e+04(#/cm³),8.25e+09(nm³/cm³),9.90(µg/m³),0.008,0.255,26.622,5760,0.004621875,pc,pp,dst,caustic,1,86
,amb,21.1,36.8,14.7,96,14.45,14.4,0,386,386,21,8.5,13.5,0.008,,,,,,0,0,0,#DIV/0!,pc,pp,dst,caustic,1,0
13:53,PC41,23.2,45.6,18.4,89,11.15,18.1,70,393,332,26,9.2,17.4,0.013,38.5,6.88e+04(#/cm³),1.31e+10(nm³/cm³), 15.7(µg/m³),0.011,0.276,12.9168,5040,0.002562857,pc,pp,dst,taurate,6,61
14:04,PC42,23.3,45.5,18.4,90.3,11.15,18.1,80,324,394,26,9.2,17.5,0.013,31.2,2.21e+04(#/cm³),4.41e+09(nm³/cm³),5.30(µg/m³),0.011,0.276,12.9168,5760,0.0022425,pc,pp,dst,taurate,6,-70
14:12,PC43,23.5,45.6,18.5,90.8,11.14,18.3,100,394,324,26,9.5,17.6,0.014,33.8,4.21e+04(#/cm³),7.52e+09(nm³/cm³),9.02(µg/m³),0.011,0.285,14.364,7200,0.001995,pc,pp,dst,taurate,6,70
14:22,PC44,23.4,45.9,18.7,91.1,11.13,18.5,120,393,316,26,9.4,17.9,0.016,37.7,7.34e+04(#/cm³),1.51e+10(nm³/cm³), 18.1(µg/m³),0.011,0.282,16.2432,8640,0.00188,pc,pp,dst,taurate,6,77
14:34,PC45,22.8,46.5,19.2,90.5,11.12,18.8,120,393,287,12,5.5,18.2,0.02,31.6,1.77e+04(#/cm³),5.48e+09(nm³/cm³),6.57(µg/m³),0.011,0.165,11.88,8640,0.001375,pc,pp,dst,taurate,6,106
14:43,PC46,23.1,46.4,19,91.2,11.12,18.9,120,394,315,25,8.5,18.2,0.0165,39.7,1.11e+04(#/cm³),4.35e+09(nm³/cm³),5.22(µg/m³),0.011,0.255,15.147,8640,0.001753125,pc,pp,dst,taurate,6,79
15:50,PC47,23.9,45,18.7,92.2,11.12,18.8,120,394,230,58,13.9,18,0.015,35.2,7.64e+03(#/cm³),3.82e+09(nm³/cm³),4.59(µg/m³),0.011,0.417,22.518,8640,0.00260625,pc,pp,dst,taurate,6,164
14:55,PC48,25.5,42.6,18.5,93.1,11.12,18.6,120,390,335,130,17,17.9,0.0225,36.6,5.29e+03(#/cm³),4.55e+09(nm³/cm³),5.46(µg/m³),0.011,0.51,41.31,8640,0.00478125,pc,pp,dst,taurate,6,55
15:05,PC49,25.6,40.5,18.2,93.9,11.12,18.4,80,387,336,108,18,17.8,0.014,33.6,4.86e+03(#/cm³),2.74e+09(nm³/cm³),3.29(µg/m³),0.011,0.54,27.216,5760,0.004725,pc,pp,dst,taurate,6,51
15:15,PC50,24.1,42,18.2,93,11.12,18.3,80,391,336,55,13.6,17.7,0.011,34.5,5.11e+03(#/cm³),2.77e+09(nm³/cm³),3.32(µg/m³),0.011,0.408,16.1568,5760,0.002805,pc,pp,dst,taurate,6,55
15:22,PC51,22.7,44.2,18.4,92.4,11.12,18.3,80,390,315,13,8.8,17.7,0.012,32.8,5.66e+03(#/cm³),1.92e+09(nm³/cm³),2.31(µg/m³),0.011,0.264,11.4048,5760,0.00198,pc,pp,dst,taurate,6,75
15:23,PC52,22.2,46.1,18.6,91.4,11.11,18.3,80,393,289,10,5.5,17.7,0.014,32,8.15e+03(#/cm³),2.81e+09(nm³/cm³),3.37(µg/m³),0.011,0.165,8.316,5760,0.00144375,pc,pp,dst,taurate,6,104
15:30,PC49r,24.9,44.5,18.1,92.7,11.11,18.3,80,394,343,106,18,17.7,0.014,32.8,5.43e+03(#/cm³),2.51e+09(nm³/cm³),3.01(µg/m³),0.011,0.54,27.216,5760,0.004725,pc,pp,dst,taurate,6,51
,amb,24.9,44.5,18.1,92.7,11.11,18.3,0,394,394,106,18,17.7,0.011,,,,,,0,0,0,#DIV/0!,pc,pp,dst,taurate,6,0
13:40,PC53,20,60.6,17,89.6,10.92,16.9,70,392,331,22,9.4,16.2,0.011,,,,,0.008,0.282,11.1672,5040,0.002215714,pc,pp,dst,taurate,6,61
13:50,PC54,20.1,56.5,17,90.8,10.92,16.9,80,392,326,23,9.5,16.2,0.012,,,,,0.008,0.285,12.312,5760,0.0021375,pc,pp,dst,taurate,6,66
13:59,PC52,20.4,55.2,17,90.1,10.91,16.9,100,389,325,24,9.2,16.3,0.012,,,,,0.008,0.276,11.9232,7200,0.001656,pc,pp,dst,taurate,6,64
14:07,PC53,20.5,53.3,17.1,91.4,10.91,17,120,393,320,27,9.3,16.4,0.013,,,,,0.008,0.279,13.0572,8640,0.00151125,pc,pp,dst,taurate,12,73
14:18,PC54,19.9,53.9,17.3,90.8,10.91,17.1,80,395,297,12,5.5,16.5,0.013,,,,,0.008,0.165,7.722,5760,0.001340625,pc,pp,dst,taurate,12,98
14:26,PC55,20.2,52.9,17,91.2,10.9,17,80,388,323,23,8.7,16.4,0.01,,,,,0.008,0.261,9.396,5760,0.00163125,pc,pp,dst,taurate,12,65
14:36,PC56,21.2,50.6,16.7,92.4,10.91,16.8,80,391,339,52,13.9,16.1,0.008,,,,,0.008,0.417,12.0096,5760,0.002085,pc,pp,dst,taurate,12,52
14:42,PC57,22.6,48.3,16.4,93.1,10.91,16.7,80,388,343,104,17.9,16.1,0.008,,,,,0.008,0.537,15.4656,5760,0.002685,pc,pp,dst,taurate,12,45
